,Skopje,Kumanovo,Bitola,Prilep,Tetovo,Štip,Veles,Ohrid,Strumica,Gostivar,Kočani,Dračevo,Struga,Debar,Kriva Palanka,Negotino,Sveti Nikole,Probištip,Delčevo,Vinica,Aračinovo,Kičevo,Kavadarci,Berovo,Kratovo,Gevgelija,Vrapčište,Radoviš,Kruševo,Čegrane,Makedonski Brod,Demir Kapija,Kučevište,Tearce,Bogdanci,Forino,Rašče,Rosoman,Demir Hisar,Vevčani,Gradsko,Valandovo,Krivogaštani,Pehčevo,Plasnica,Zrnovci,Novaci,Bosilovo,Mogila,Novo Selo,Konče,Rostuša,Jegunovce,Rankovce,Sopište,Obleševo,Vasilevo,Karbinci,Lozovo,Staro Nagoričane,Brvenica,Centar Župa,Dolneni,Belčišta,Čučer-Sandevo,Zelenikovo,Petrovec,Želino,Star Dojran,Studeničani,Bogovinje,Ilinden,Lipkovo,Makedonska Kamenica,Resen
Bogdanci,118.8,114.5,161.5,114.0,145.3,112.9,84.1,234.2,53.8,167.6,131.5,109.7,242.9,245.6,163.9,52.9,108.7,140.6,151.4,139.4,108.2,186.6,65.4,113.9,155.3,13.9,168.5,89.5,163.7,172.0,158.2,42.4,122.6,156.8,0.0,174.7,134.1,67.7,168.0,256.3,64.1,24.1,142.7,125.2,173.2,136.5,166.9,62.0,154.1,77.0,86.8,238.7,152.6,151.7,122.6,127.8,59.3,125.0,89.1,128.7,147.8,246.6,135.4,227.6,122.2,106.2,98.1,140.8,26.1,111.6,156.7,108.2,127.4,154.8,190.1
Forino,70.9,94.2,160.5,143.3,34.0,117.9,114.8,129.6,182.3,8.3,135.3,84.6,133.3,104.5,143.6,139.7,99.0,141.2,180.2,143.3,72.6,74.6,145.1,189.2,144.2,178.2,13.8,147.9,142.9,4.8,102.0,149.0,72.0,46.9,184.0,0.0,67.0,134.3,128.4,146.7,131.1,178.7,142.8,193.9,95.1,140.4,169.6,190.5,160.0,205.6,163.2,83.9,51.4,131.4,77.5,131.7,177.0,128.9,117.5,108.4,30.4,105.5,133.9,118.0,71.1,94.4,78.3,38.8,206.5,91.3,26.4,76.6,94.0,158.7,172.2
Rašče,27.4,52.6,181.9,134.4,38.1,76.3,73.2,177.1,140.7,60.3,93.7,42.3,180.9,152.1,102.0,98.1,57.4,99.6,138.6,101.7,31.0,122.2,103.5,147.6,102.6,136.6,61.3,106.3,184.2,64.8,149.6,107.4,30.4,37.5,142.4,67.4,0.0,92.6,175.9,194.2,89.5,137.1,163.1,152.3,142.7,98.8,187.3,148.9,174.6,164.0,121.6,131.4,29.6,89.8,34.0,90.0,135.3,87.3,75.8,66.8,40.5,153.1,155.8,165.6,29.5,52.8,36.7,33.5,164.8,48.0,49.4,35.0,52.4,117.1,210.5
Rosoman,66.8,62.5,105.4,57.8,93.3,61.9,32.1,178.1,95.5,115.5,79.4,57.7,186.8,189.5,111.8,20.4,56.7,88.6,124.3,87.3,56.1,130.5,14.3,133.2,103.2,58.9,116.5,82.7,107.6,120.0,102.1,29.6,70.5,104.7,64.7,122.6,82.0,0.0,111.8,200.2,10.5,59.4,86.5,137.9,117.1,84.4,110.8,103.7,98.0,118.7,86.9,186.6,100.6,99.6,70.5,75.7,101.0,73.0,37.1,76.7,95.7,190.4,79.2,171.5,70.1,54.1,46.0,88.7,87.1,59.5,104.6,56.2,75.3,102.8,134.0
Demir Hisar,164.3,160.0,32.7,60.1,144.2,159.5,129.6,99.8,196.3,121.9,177.0,155.2,103.5,106.2,209.4,118.9,154.2,186.1,221.8,184.9,153.7,59.1,107.7,230.8,200.8,159.7,124.2,183.5,37.8,133.1,79.3,130.5,168.1,157.2,165.5,129.0,177.2,112.4,0.0,116.9,112.6,160.2,35.2,235.5,76.4,182.0,41.8,204.5,32.2,219.6,187.7,105.6,161.6,197.2,168.1,173.3,201.8,170.5,134.6,174.2,145.1,107.2,71.7,88.2,167.7,151.7,143.6,149.1,188.0,157.1,136.9,153.7,172.9,200.3,62.3
Vevčani,198.4,221.7,104.9,141.9,161.5,245.4,208.2,27.0,282.8,139.1,262.9,212.1,17.2,62.9,271.1,205.3,226.5,268.7,307.7,270.8,200.1,76.4,194.2,316.7,271.8,246.1,141.5,270.0,130.6,150.4,100.6,216.9,199.5,174.5,252.0,146.3,194.5,198.9,116.1,0.0,199.1,246.7,141.4,321.4,93.6,267.9,118.3,290.9,113.8,306.0,274.2,84.5,178.9,258.9,205.0,259.2,288.3,256.4,221.1,236.0,162.4,56.3,132.4,40.6,198.6,221.9,205.8,166.3,274.4,218.8,154.2,204.1,221.5,286.3,69.6
Gradsko,62.9,58.6,105.6,58.1,89.4,58.1,28.2,178.3,92.0,111.6,75.5,53.8,187.0,189.7,107.9,17.0,52.8,84.7,120.4,83.5,52.2,130.7,20.9,129.4,99.4,55.4,112.6,79.3,107.8,116.1,102.3,26.2,66.6,100.8,61.3,118.7,78.2,10.1,112.1,200.4,0.0,56.0,86.7,134.1,117.3,80.6,111.0,100.2,98.2,115.3,83.4,182.8,96.7,95.8,66.7,71.8,97.5,69.1,33.2,72.8,91.9,190.7,79.5,171.7,66.3,50.2,42.2,84.8,83.7,55.6,100.7,52.3,71.5,98.9,134.2
Valandovo,111.4,107.1,154.1,106.6,137.9,99.2,76.7,226.8,37.0,160.1,124.0,102.3,235.5,238.2,156.4,45.5,101.3,133.2,134.6,132.0,100.8,179.2,57.9,97.1,147.9,27.0,161.1,72.8,156.3,164.6,150.8,34.9,115.1,149.4,24.0,167.2,126.7,60.3,160.6,248.9,56.7,0.0,135.3,108.4,165.8,129.1,159.5,45.2,146.7,60.3,70.0,231.3,145.2,144.3,115.2,120.4,42.5,111.5,81.7,121.3,140.4,239.2,128.0,220.2,114.8,98.7,90.7,133.3,28.7,104.1,149.2,100.8,120.0,147.4,182.7
Krivogaštani,138.0,133.7,54.9,29.1,158.6,133.2,103.3,125.3,170.0,136.2,150.6,128.9,129.0,131.7,183.0,92.5,127.9,159.8,195.5,158.6,127.3,72.8,81.3,204.4,174.4,133.3,138.6,157.2,21.3,147.5,44.4,104.1,141.7,171.5,139.2,143.3,153.3,86.1,35.2,142.4,86.2,133.9,0.0,209.2,59.3,155.6,64.0,178.1,47.5,193.2,161.3,131.2,171.8,170.9,141.8,146.9,175.4,144.2,108.3,147.9,159.5,132.7,36.8,113.7,141.4,125.3,117.3,159.9,161.6,130.7,151.2,127.4,146.5,174.0,83.5
Pehčevo,137.2,129.9,226.7,179.2,164.9,92.5,119.3,299.4,73.2,187.1,64.1,133.6,307.7,278.9,151.2,142.9,97.0,98.2,32.8,52.9,127.7,249.0,148.3,13.6,112.8,134.9,188.1,108.9,228.9,191.6,223.4,142.9,142.1,176.3,125.9,194.2,153.6,137.4,233.2,321.1,134.3,109.1,207.9,0.0,238.4,60.1,232.1,67.9,219.3,82.9,129.9,258.2,172.2,135.2,141.0,76.4,78.7,96.4,102.2,144.1,167.3,279.9,200.6,292.4,141.8,137.3,122.0,160.3,130.5,140.3,176.2,124.4,142.7,55.4,255.3
Plasnica,147.7,164.3,108.5,59.7,110.8,163.8,126.1,77.5,200.6,88.5,181.3,159.6,81.3,84.0,213.7,123.2,158.6,190.4,226.2,189.2,149.5,25.0,112.0,235.1,205.1,164.0,90.8,187.9,79.6,99.7,18.4,134.8,148.9,123.8,169.8,95.6,143.8,116.7,76.3,94.6,116.9,164.5,59.3,239.8,0.0,186.3,116.8,208.8,104.0,223.9,192.0,83.4,128.2,201.5,154.3,177.6,206.1,174.8,138.9,178.6,111.7,84.9,50.3,66.0,148.0,156.0,147.9,115.7,192.3,161.4,103.5,153.4,170.8,204.7,120.1
Zrnovci,83.6,76.2,173.1,125.5,111.2,38.9,65.6,245.8,103.3,133.5,9.7,80.0,254.0,225.3,97.6,89.2,43.3,44.5,48.2,8.9,74.1,195.3,94.6,55.2,59.2,127.7,134.4,68.9,175.3,137.9,169.8,98.5,88.5,122.7,133.6,140.6,100.0,83.8,179.5,267.4,80.6,128.2,154.2,60.0,184.8,0.0,178.5,109.6,165.7,124.6,84.3,204.6,118.5,81.5,87.4,18.7,98.0,37.1,48.6,90.4,113.7,226.2,146.9,238.7,88.1,83.7,68.4,106.7,156.0,86.6,122.6,70.8,89.1,33.1,201.7
Novaci,163.2,158.9,14.0,58.9,185.3,158.4,128.5,94.1,195.2,163.0,175.8,154.1,105.8,147.3,208.2,117.7,153.1,185.0,220.7,183.8,152.5,100.2,106.6,229.6,199.6,158.5,165.3,182.4,78.9,174.2,101.9,129.3,166.9,198.3,164.4,170.1,178.5,111.3,41.6,119.1,111.5,159.1,63.4,234.4,116.9,180.8,0.0,203.3,23.9,218.4,186.6,146.7,197.0,196.1,167.0,172.1,200.7,169.4,133.5,173.1,186.2,148.3,79.0,116.3,166.6,150.5,142.5,185.1,186.8,155.9,178.0,152.6,171.7,199.2,50.0
Bosilovo,129.2,121.8,198.7,151.2,156.8,72.0,111.2,271.4,9.8,179.1,100.8,125.6,280.1,270.9,163.0,90.0,88.9,109.9,94.0,102.4,119.7,223.8,102.5,56.5,124.6,71.5,180.0,45.6,200.9,183.5,195.4,79.5,134.1,168.3,62.6,186.2,145.6,104.8,205.2,293.5,101.3,45.8,179.8,67.8,210.4,105.8,204.1,0.0,191.3,15.1,66.5,250.2,164.1,146.9,133.0,97.1,15.3,84.4,94.2,136.0,159.3,271.8,172.6,264.8,133.7,129.3,114.0,152.3,67.2,132.2,168.2,116.4,134.7,116.6,227.3
Mogila,150.5,146.2,14.8,46.2,175.7,145.7,115.8,90.1,182.5,153.4,163.1,141.4,101.8,137.7,195.5,105.0,140.4,172.3,208.0,171.1,139.8,90.6,93.8,216.9,186.9,145.8,155.7,169.7,64.4,164.6,89.2,116.6,154.2,188.4,151.7,160.5,165.8,98.6,32.0,115.2,98.7,146.4,47.3,221.7,104.2,168.1,23.9,190.6,0.0,205.7,173.8,137.1,184.3,183.4,154.3,159.4,187.9,156.7,120.8,160.4,176.6,138.7,66.3,112.3,153.9,137.8,129.8,172.4,174.1,143.2,168.4,139.9,159.0,186.5,46.0
