,Skopje,Kumanovo,Bitola,Prilep,Tetovo,Štip,Veles,Ohrid,Strumica,Gostivar,Kočani,Dračevo,Struga,Debar,Kriva Palanka,Negotino,Sveti Nikole,Probištip,Delčevo,Vinica,Aračinovo,Kičevo,Kavadarci,Berovo,Kratovo,Gevgelija,Vrapčište,Radoviš,Kruševo,Čegrane,Makedonski Brod,Demir Kapija,Kučevište,Tearce,Bogdanci,Forino,Rašče,Rosoman,Demir Hisar,Vevčani,Gradsko,Valandovo,Krivogaštani,Pehčevo,Plasnica,Zrnovci,Novaci,Bosilovo,Mogila,Novo Selo,Konče,Rostuša,Jegunovce,Rankovce,Sopište,Obleševo,Vasilevo,Karbinci,Lozovo,Staro Nagoričane,Brvenica,Centar Župa,Dolneni,Belčišta,Čučer-Sandevo,Zelenikovo,Petrovec,Želino,Star Dojran,Studeničani,Bogovinje,Ilinden,Lipkovo,Makedonska Kamenica,Resen
Staro Nagoričane,50.2,18.6,177.5,129.9,77.8,68.3,68.7,216.9,132.7,100.0,85.7,45.7,220.6,191.9,45.3,93.6,49.4,68.5,130.6,93.7,38.4,161.9,99.0,139.6,45.9,132.1,101.0,98.3,179.7,104.5,174.2,102.9,55.0,89.3,137.9,107.2,66.6,88.1,183.9,234.0,85.0,132.6,158.6,144.3,182.4,90.8,182.9,140.9,170.1,156.0,113.6,171.2,85.1,33.1,53.9,82.1,127.4,79.3,67.9,0.0,80.3,192.8,151.3,205.3,54.7,49.6,34.1,73.2,160.4,52.3,89.2,37.4,31.3,109.1,206.0
Brvenica,47.9,71.2,174.3,153.0,6.8,94.9,91.8,143.4,159.3,26.5,112.3,61.6,147.1,118.3,120.6,116.7,76.0,118.2,157.2,120.3,49.6,88.4,122.1,166.2,121.2,155.2,27.5,124.9,156.6,26.4,115.8,126.0,49.0,20.0,161.0,30.4,44.0,111.2,142.2,160.5,108.1,155.7,156.6,170.9,108.9,117.4,183.4,167.5,173.8,182.6,140.2,97.6,26.2,108.4,54.5,108.7,153.9,105.9,94.5,85.4,0.0,119.3,147.7,131.8,48.1,71.4,55.3,15.8,183.5,68.3,15.6,53.6,71.0,135.7,185.9
Centar Župa,158.9,182.2,139.5,133.1,122.0,205.9,199.4,74.2,270.3,99.6,223.4,172.6,64.4,18.0,231.6,196.5,187.0,229.2,268.2,231.3,160.6,67.6,185.4,277.2,232.3,237.3,102.0,235.9,121.8,110.9,91.8,208.1,160.0,135.0,243.2,106.8,155.0,190.1,107.3,56.3,190.3,237.9,132.6,281.9,84.9,228.4,148.6,278.5,139.0,293.6,251.3,28.9,139.4,219.4,165.5,219.7,265.0,216.9,205.5,196.5,122.9,0.0,123.7,81.0,159.1,182.4,166.3,126.8,265.6,179.3,114.7,164.6,182.0,246.8,116.8
Dolneni,130.9,126.6,73.7,22.0,149.5,126.1,96.2,116.3,162.9,127.2,143.5,121.8,120.0,122.7,176.0,85.4,120.8,152.7,188.4,151.5,120.3,63.7,74.3,197.4,167.4,126.3,129.6,150.1,57.2,138.4,35.3,97.0,134.7,162.5,132.1,134.3,146.2,79.0,71.8,133.4,79.2,126.8,36.9,202.1,50.3,148.6,79.1,171.1,66.3,186.2,154.3,122.1,164.7,163.8,134.7,139.9,168.4,137.1,101.2,140.8,150.4,123.7,0.0,104.7,134.3,118.2,110.2,152.8,154.5,123.7,142.2,120.3,139.5,166.9,102.3
Belčišta,170.1,193.4,102.3,113.6,133.2,217.1,179.9,24.4,254.4,110.8,234.5,183.8,28.2,79.5,242.8,177.0,198.2,240.4,279.4,242.5,171.8,48.0,165.8,288.4,243.4,217.8,113.2,241.7,102.3,122.1,72.2,188.6,171.2,146.1,223.7,118.0,166.2,170.5,87.8,41.5,170.7,218.4,113.1,293.1,65.3,239.6,115.7,262.6,111.2,277.7,245.8,78.9,150.6,230.6,176.7,230.9,259.9,228.1,192.8,207.6,134.1,80.5,104.1,0.0,170.3,193.6,177.5,138.0,246.1,190.5,125.9,175.8,193.2,257.9,67.0
Čučer-Sandevo,23.9,43.4,172.8,125.2,42.9,67.1,64.0,182.0,131.5,65.1,84.6,33.8,185.7,157.0,92.8,89.0,48.2,90.4,129.4,92.5,21.8,127.0,94.3,138.4,93.5,127.4,66.1,97.1,175.0,69.6,154.4,98.2,6.2,54.4,133.3,72.3,31.7,83.5,179.2,199.1,80.3,128.0,153.9,143.1,147.5,89.6,178.2,139.7,165.4,154.8,112.4,136.3,50.2,80.6,31.5,80.9,126.2,78.1,66.7,57.6,45.4,157.9,146.6,170.4,0.0,43.6,27.5,38.3,155.7,40.5,54.3,25.8,43.2,107.9,201.4
Zelenikovo,34.8,38.1,154.4,106.9,66.6,62.1,45.7,205.6,126.5,88.8,79.5,16.3,209.4,180.6,87.4,70.6,43.2,85.4,124.4,87.5,29.4,150.7,76.0,133.4,88.1,109.1,89.8,92.1,156.6,93.3,151.1,79.8,43.8,78.0,114.9,95.9,55.3,65.1,160.9,222.7,62.0,109.6,135.6,138.1,166.1,84.6,159.8,134.7,147.0,149.8,107.4,159.9,73.9,75.3,33.2,75.9,121.2,73.1,53.8,52.3,69.0,181.6,128.3,194.1,43.4,0.0,17.0,62.0,137.3,16.4,77.9,29.5,50.8,102.9,183.0
Petrovec,23.9,21.9,148.0,100.5,50.5,47.0,39.3,189.5,111.4,72.7,64.5,13.2,193.3,164.5,71.3,64.2,28.1,70.3,109.3,72.4,13.3,134.5,69.6,118.3,72.0,102.7,73.7,77.0,150.3,77.1,144.8,73.4,27.7,61.9,108.5,79.8,39.2,58.7,154.5,206.6,55.6,103.2,129.2,123.0,155.1,69.5,153.4,119.6,140.7,134.7,92.3,143.8,57.7,59.1,27.2,60.8,106.1,58.0,46.6,36.2,52.9,165.5,121.9,177.9,27.3,16.9,0.0,45.9,130.9,19.9,61.8,12.6,34.7,87.8,176.6
Želino,37.5,60.8,181.1,142.6,11.1,84.5,81.4,150.2,148.8,33.4,101.9,51.2,153.9,125.2,110.2,106.3,65.6,107.8,146.8,109.9,39.2,95.2,111.7,155.8,110.8,144.8,34.3,114.5,163.5,37.8,122.6,115.6,38.6,21.6,150.6,40.5,33.6,100.8,149.0,167.3,97.7,145.3,163.5,160.5,115.7,106.9,190.3,157.1,180.7,172.2,129.8,104.5,17.5,98.0,44.1,98.2,143.5,95.5,84.0,75.0,13.6,126.1,154.5,138.6,37.7,61.0,44.9,0.0,173.0,57.8,22.5,43.2,60.6,125.3,192.8
Star Dojran,138.8,134.5,181.5,134.0,165.4,120.5,104.2,254.2,58.3,187.6,149.2,129.8,262.9,265.6,183.9,72.9,128.8,158.4,155.9,157.2,128.2,206.7,85.4,118.4,173.1,37.7,188.6,94.1,183.8,192.0,178.3,62.4,142.6,176.8,26.1,194.7,154.1,87.7,188.0,276.3,84.1,28.6,162.7,129.7,193.2,154.2,186.9,66.5,174.2,81.6,91.3,258.7,172.6,171.7,142.6,145.5,63.8,132.8,109.1,148.7,167.8,266.6,155.4,247.6,142.2,126.2,118.1,160.8,0.0,131.6,176.7,128.3,147.4,172.6,210.1
Studeničani,25.1,39.9,159.5,112.0,63.3,64.9,50.8,202.4,129.3,85.5,82.4,6.6,206.1,177.4,89.2,75.7,46.1,88.2,127.3,90.4,26.1,147.4,81.1,136.2,89.9,114.2,86.5,95.0,161.8,90.0,156.3,84.9,40.5,74.8,120.0,92.6,47.5,70.2,166.0,219.5,67.1,114.7,140.7,141.0,167.9,87.4,164.9,137.6,152.2,152.7,110.3,156.7,67.6,77.1,23.6,78.7,124.0,76.0,58.9,54.1,65.8,178.3,133.4,190.8,40.2,16.0,19.7,58.7,142.4,0.0,74.6,24.4,47.5,105.8,188.1
Bogovinje,53.9,77.3,167.7,150.5,13.7,100.9,97.9,136.8,165.3,19.4,118.4,67.7,140.5,111.8,126.6,122.8,82.1,124.3,163.3,126.4,55.7,81.8,128.2,172.2,127.3,161.3,13.3,131.0,150.1,25.0,109.2,132.0,55.1,26.9,167.1,26.5,50.1,117.3,135.6,153.9,114.2,161.8,150.1,177.0,102.3,123.4,176.9,173.6,167.3,188.7,146.3,91.1,33.0,114.5,60.6,114.7,160.0,112.0,100.5,91.5,16.4,112.7,141.1,125.2,54.2,77.5,61.3,21.9,189.5,74.3,0.0,59.7,77.1,141.8,179.4
Ilinden,21.3,25.1,158.8,111.2,48.9,48.8,50.0,188.0,113.2,71.2,66.2,17.9,191.8,163.0,74.5,74.9,29.9,72.1,111.1,74.2,11.8,133.0,80.3,120.1,75.1,113.4,72.1,78.8,161.0,75.6,155.5,84.2,26.2,60.4,119.2,78.3,37.7,69.4,165.2,205.1,66.3,113.9,139.9,124.8,153.5,71.3,164.2,121.4,151.4,136.5,94.1,142.3,56.2,62.3,25.1,62.6,107.8,59.8,48.4,39.3,51.4,163.9,132.6,176.4,25.8,29.6,12.8,44.4,141.7,24.5,60.3,0.0,33.2,89.6,187.3
Lipkovo,41.2,16.1,176.5,129.0,65.8,67.4,67.8,204.9,131.8,88.0,84.8,40.8,208.6,179.8,66.7,92.7,48.5,90.0,129.7,92.8,21.6,149.9,98.1,138.7,67.3,131.2,89.0,97.4,178.8,92.5,173.3,101.9,43.0,77.2,137.0,95.1,54.6,87.2,183.0,222.0,84.1,131.7,157.7,143.4,170.4,89.8,181.9,140.0,169.2,155.1,112.7,159.2,73.1,54.5,45.0,81.1,126.4,78.4,66.9,31.5,68.3,180.8,150.4,193.3,42.7,48.7,33.1,61.2,159.4,47.5,77.1,32.8,0.0,108.2,205.1
Makedonska Kamenica,102.0,94.7,191.5,144.0,129.7,57.3,84.1,264.2,121.7,151.9,28.8,98.4,272.5,243.7,116.0,107.7,61.7,63.0,23.2,27.5,92.5,213.7,113.0,62.1,77.6,146.1,152.9,87.3,193.7,156.3,188.2,116.9,106.9,141.1,152.0,159.0,118.4,102.2,198.0,285.8,99.0,146.7,172.6,55.3,203.2,33.3,196.9,116.5,184.1,131.4,102.7,223.0,136.9,99.9,105.8,41.2,116.4,63.3,67.0,108.9,132.1,244.7,165.4,257.1,106.5,102.1,86.8,125.1,174.4,105.0,141.0,89.2,107.5,0.0,220.1
Resen,187.7,183.4,37.7,83.4,187.4,182.9,153.0,44.3,219.7,165.0,200.3,178.6,56.0,123.2,232.7,142.2,177.6,209.5,245.2,208.3,177.0,102.3,131.1,254.2,224.2,183.1,167.4,206.9,100.6,176.3,126.4,153.8,191.4,200.4,188.9,172.2,203.0,135.8,63.3,69.3,136.0,183.6,84.5,258.9,119.6,205.3,51.1,227.8,46.6,242.9,211.1,133.2,204.8,220.6,191.5,196.6,225.2,193.9,158.0,197.6,188.3,116.7,103.5,66.5,191.1,175.0,167.0,192.3,211.3,180.4,180.1,177.1,196.3,223.7,0.0
